,Injury.Severity
25957,Non-Fatal
25958,Incident
25959,Non-Fatal
25960,Non-Fatal
25961,Non-Fatal
25962,Non-Fatal
25963,Non-Fatal
25964,Non-Fatal
25965,Fatal(1)
25966,Non-Fatal
25967,Non-Fatal
25968,Non-Fatal
25969,Non-Fatal
25970,Fatal(1)
25971,Fatal(1)
25972,Non-Fatal
25973,Non-Fatal
25974,Non-Fatal
25975,Fatal(1)
25976,Non-Fatal
25977,Non-Fatal
25978,Non-Fatal
25979,Non-Fatal
25980,Non-Fatal
25981,Non-Fatal
25982,Fatal(1)
25983,Non-Fatal
25984,Non-Fatal
25985,Non-Fatal
25986,Non-Fatal
25987,Non-Fatal
25988,Non-Fatal
25989,Non-Fatal
25990,Non-Fatal
25991,Non-Fatal
25992,Non-Fatal
25993,Non-Fatal
25994,Non-Fatal
25995,Fatal(1)
25996,Non-Fatal
25997,Non-Fatal
25998,Non-Fatal
25999,Non-Fatal
26000,Non-Fatal
26001,Non-Fatal
26002,Non-Fatal
26003,Fatal(1)
26004,Non-Fatal
26005,Non-Fatal
26006,Non-Fatal
26007,Non-Fatal
26008,Non-Fatal
26009,Non-Fatal
26010,Non-Fatal
26011,Fatal(1)
26012,Fatal(2)
26013,Non-Fatal
26014,Non-Fatal
26015,Non-Fatal
26016,Non-Fatal
26017,Non-Fatal
26018,Non-Fatal
26019,Non-Fatal
26020,Fatal(3)
26021,Fatal(2)
26022,Fatal(1)
26023,Fatal(1)
26024,Non-Fatal
26025,Non-Fatal
26026,Non-Fatal
26027,Non-Fatal
26028,Non-Fatal
26029,Non-Fatal
26030,Non-Fatal
26031,Non-Fatal
26032,Non-Fatal
26033,Non-Fatal
26034,Non-Fatal
26035,Non-Fatal
26036,Non-Fatal
26037,Non-Fatal
26038,Non-Fatal
26039,Non-Fatal
26040,Non-Fatal
26041,Non-Fatal
26042,Non-Fatal
26043,Non-Fatal
26044,Fatal(2)
26045,Fatal(3)
26046,Non-Fatal
26047,Non-Fatal
26048,Non-Fatal
26049,Fatal(1)
26050,Non-Fatal
26051,Non-Fatal
26052,Non-Fatal
26053,Non-Fatal
26054,Non-Fatal
26055,Non-Fatal
26056,Non-Fatal
26057,Non-Fatal
26058,Non-Fatal
26059,Non-Fatal
26060,Fatal(1)
26061,Non-Fatal
26062,Fatal(1)
26063,Non-Fatal
26064,Non-Fatal
26065,Non-Fatal
26066,Non-Fatal
26067,Non-Fatal
26068,Non-Fatal
26069,Non-Fatal
26070,Non-Fatal
26071,Non-Fatal
26072,Non-Fatal
26073,Non-Fatal
26074,Non-Fatal
26075,Non-Fatal
26076,Non-Fatal
26077,Non-Fatal
26078,Non-Fatal
26079,Non-Fatal
26080,Non-Fatal
26081,Non-Fatal
26082,Non-Fatal
26083,Fatal(2)
26084,Non-Fatal
26085,Non-Fatal
26086,Non-Fatal
26087,Non-Fatal
26088,Non-Fatal
26089,Non-Fatal
26090,Non-Fatal
26091,Non-Fatal
26092,Incident
26093,Non-Fatal
26094,Non-Fatal
26095,Non-Fatal
26096,Non-Fatal
26097,Non-Fatal
26098,Non-Fatal
26099,Non-Fatal
26100,Non-Fatal
26101,Non-Fatal
26102,Fatal(1)
26103,Non-Fatal
26104,Non-Fatal
26105,Non-Fatal
26106,Non-Fatal
26107,Non-Fatal
26108,Non-Fatal
26109,Fatal(1)
26110,Non-Fatal
26111,Non-Fatal
26112,Non-Fatal
26113,Non-Fatal
26114,Non-Fatal
26115,Non-Fatal
26116,Non-Fatal
26117,Non-Fatal
26118,Fatal(1)
26119,Fatal(2)
26120,Non-Fatal
26121,Non-Fatal
26122,Non-Fatal
26123,Non-Fatal
26124,Non-Fatal
26125,Non-Fatal
26126,Non-Fatal
26127,Fatal(2)
26128,Fatal(3)
26129,Fatal(3)
26130,Non-Fatal
26131,Non-Fatal
26132,Non-Fatal
26133,Fatal(2)
26134,Non-Fatal
26135,Non-Fatal
26136,Non-Fatal
26137,Non-Fatal
26138,Non-Fatal
26139,Fatal(3)
26140,Fatal(1)
26141,Incident
26142,Non-Fatal
26143,Fatal(1)
26144,Fatal(2)
26145,Non-Fatal
26146,Non-Fatal
26147,Non-Fatal
26148,Non-Fatal
26149,Non-Fatal
26150,Non-Fatal
26151,Non-Fatal
26152,Fatal(1)
26153,Non-Fatal
26154,Non-Fatal
26155,Fatal(2)
26156,Non-Fatal
26157,Fatal(1)
26158,Non-Fatal
26159,Non-Fatal
26160,Non-Fatal
26161,Non-Fatal
26162,Non-Fatal
26163,Non-Fatal
26164,Non-Fatal
26165,Non-Fatal
26166,Non-Fatal
26167,Non-Fatal
26168,Non-Fatal
26169,Non-Fatal
26170,Non-Fatal
26171,Non-Fatal
26172,Non-Fatal
26173,Non-Fatal
26174,Non-Fatal
26175,Non-Fatal
26176,Fatal(3)
26177,Non-Fatal
26178,Fatal(1)
26179,Non-Fatal
26180,Non-Fatal
26181,Non-Fatal
26182,Non-Fatal
26183,Fatal(1)
26184,Incident
26185,Fatal(2)
26186,Non-Fatal
26187,Non-Fatal
26188,Non-Fatal
26189,Non-Fatal
26190,Non-Fatal
26191,Non-Fatal
26192,Non-Fatal
26193,Non-Fatal
26194,Non-Fatal
26195,Non-Fatal
26196,Non-Fatal
26197,Non-Fatal
26198,Non-Fatal
26199,Non-Fatal
26200,Non-Fatal
26201,Non-Fatal
26202,Non-Fatal
26203,Fatal(1)
26204,Non-Fatal
26205,Non-Fatal
26206,Non-Fatal
26207,Non-Fatal
26208,Non-Fatal
26209,Non-Fatal
26210,Fatal(2)
26211,Non-Fatal
26212,Non-Fatal
26213,Non-Fatal
26214,Non-Fatal
26215,Non-Fatal
26216,Non-Fatal
26217,Non-Fatal
26218,Non-Fatal
26219,Non-Fatal
26220,Non-Fatal
26221,Non-Fatal
26222,Non-Fatal
26223,Fatal(1)
26224,Fatal(2)
26225,Non-Fatal
26226,Non-Fatal
26227,Non-Fatal
26228,Non-Fatal
26229,Fatal(1)
26230,Non-Fatal
26231,Non-Fatal
26232,Non-Fatal
26233,Non-Fatal
26234,Non-Fatal
26235,Non-Fatal
26236,Non-Fatal
26237,Fatal(2)
26238,Non-Fatal
26239,Incident
26240,Non-Fatal
26241,Non-Fatal
26242,Non-Fatal
26243,Non-Fatal
26244,Non-Fatal
26245,Non-Fatal
26246,Fatal(2)
26247,Non-Fatal
26248,Fatal(3)
26249,Non-Fatal
26250,Non-Fatal
26251,Non-Fatal
26252,Non-Fatal
26253,Non-Fatal
26254,Non-Fatal
26255,Non-Fatal
26256,Non-Fatal
26257,Non-Fatal
26258,Non-Fatal
26259,Non-Fatal
26260,Non-Fatal
26261,Non-Fatal
26262,Fatal(1)
26263,Non-Fatal
26264,Non-Fatal
26265,Non-Fatal
26266,Non-Fatal
26267,Fatal(2)
26268,Non-Fatal
26269,Non-Fatal
26270,Non-Fatal
26271,Non-Fatal
26272,Non-Fatal
26273,Non-Fatal
26274,Fatal(2)
26275,Fatal(2)
26276,Non-Fatal
26277,Non-Fatal
26278,Non-Fatal
26279,Non-Fatal
26280,Non-Fatal
26281,Non-Fatal
26282,Fatal(1)
26283,Non-Fatal
26284,Non-Fatal
26285,Fatal(1)
26286,Non-Fatal
26287,Non-Fatal
26288,Non-Fatal
26289,Non-Fatal
26290,Non-Fatal
26291,Non-Fatal
26292,Non-Fatal
26293,Non-Fatal
26294,Non-Fatal
26295,Non-Fatal
26296,Non-Fatal
26297,Non-Fatal
26298,Non-Fatal
26299,Non-Fatal
26300,Non-Fatal
26301,Non-Fatal
26302,Non-Fatal
26303,Non-Fatal
26304,Non-Fatal
26305,Non-Fatal
26306,Non-Fatal
26307,Non-Fatal
26308,Fatal(1)
26309,Non-Fatal
26310,Non-Fatal
26311,Non-Fatal
26312,Non-Fatal
26313,Fatal(4)
26314,Non-Fatal
26315,Incident
26316,Non-Fatal
26317,Non-Fatal
26318,Non-Fatal
26319,Fatal(1)
26320,Fatal(2)
26321,Non-Fatal
26322,Fatal(2)
26323,Non-Fatal
26324,Non-Fatal
26325,Non-Fatal
26326,Non-Fatal
26327,Non-Fatal
26328,Non-Fatal
26329,Non-Fatal
26330,Incident
26331,Fatal(1)
26332,Non-Fatal
26333,Non-Fatal
26334,Non-Fatal
26335,Non-Fatal
26336,Fatal(1)
26337,Fatal(2)
26338,Non-Fatal
26339,Non-Fatal
26340,Non-Fatal
26341,Non-Fatal
26342,Fatal(2)
26343,Non-Fatal
26344,Non-Fatal
26345,Non-Fatal
26346,Non-Fatal
26347,Non-Fatal
26348,Non-Fatal
26349,Non-Fatal
26350,Non-Fatal
26351,Fatal(1)
26352,Non-Fatal
26353,Fatal(2)
26354,Non-Fatal
26355,Fatal(2)
26356,Fatal(2)
26357,Non-Fatal
26358,Non-Fatal
26359,Non-Fatal
26360,Non-Fatal
26361,Non-Fatal
26362,Non-Fatal
26363,Non-Fatal
26364,Non-Fatal
26365,Non-Fatal
26366,Fatal(2)
26367,Non-Fatal
26368,Fatal(1)
26369,Non-Fatal
26370,Non-Fatal
26371,Non-Fatal
26372,Non-Fatal
26373,Non-Fatal
26374,Fatal(2)
26375,Non-Fatal
26376,Non-Fatal
26377,Non-Fatal
26378,Non-Fatal
26379,Non-Fatal
26380,Non-Fatal
26381,Non-Fatal
26382,Fatal(7)
26383,Fatal(1)
26384,Non-Fatal
26385,Non-Fatal
26386,Non-Fatal
26387,Non-Fatal
26388,Non-Fatal
26389,Non-Fatal
26390,Non-Fatal
26391,Fatal(1)
26392,Non-Fatal
26393,Fatal(4)
26394,Fatal(4)
26395,Fatal(4)
26396,Non-Fatal
26397,Fatal(2)
26398,Non-Fatal
26399,Non-Fatal
26400,Non-Fatal
26401,Fatal(2)
26402,Non-Fatal
26403,Non-Fatal
26404,Non-Fatal
26405,Non-Fatal
26406,Non-Fatal
26407,Non-Fatal
26408,Non-Fatal
26409,Non-Fatal
26410,Incident
26411,Fatal(4)
26412,Non-Fatal
26413,Non-Fatal
26414,Non-Fatal
26415,Non-Fatal
26416,Fatal(3)
26417,Non-Fatal
26418,Non-Fatal
26419,Fatal(1)
26420,Non-Fatal
26421,Non-Fatal
26422,Non-Fatal
26423,Fatal(3)
26424,Fatal(4)
26425,Non-Fatal
26426,Non-Fatal
26427,Non-Fatal
26428,Non-Fatal
26429,Non-Fatal
26430,Non-Fatal
26431,Non-Fatal
26432,Non-Fatal
26433,Non-Fatal
26434,Non-Fatal
26435,Non-Fatal
26436,Non-Fatal
26437,Non-Fatal
26438,Incident
26439,Fatal(1)
26440,Fatal(2)
26441,Fatal(1)
26442,Non-Fatal
26443,Non-Fatal
26444,Non-Fatal
26445,Non-Fatal
26446,Non-Fatal
26447,Non-Fatal
26448,Non-Fatal
26449,Non-Fatal
26450,Non-Fatal
26451,Non-Fatal
26452,Non-Fatal
26453,Non-Fatal
26454,Non-Fatal
26455,Non-Fatal
26456,Non-Fatal
26457,Non-Fatal
26458,Non-Fatal
26459,Non-Fatal
26460,Fatal(2)
26461,Fatal(2)
26462,Fatal(2)
26463,Fatal(1)
26464,Non-Fatal
26465,Non-Fatal
26466,Non-Fatal
26467,Non-Fatal
26468,Non-Fatal
26469,Non-Fatal
26470,Non-Fatal
26471,Non-Fatal
26472,Non-Fatal
26473,Incident
26474,Fatal(5)
26475,Non-Fatal
26476,Non-Fatal
26477,Non-Fatal
26478,Non-Fatal
26479,Fatal(2)
26480,Non-Fatal
26481,Fatal(1)
26482,Non-Fatal
26483,Fatal(3)
26484,Fatal(2)
26485,Non-Fatal
26486,Non-Fatal
26487,Non-Fatal
26488,Fatal(1)
26489,Non-Fatal
26490,Non-Fatal
26491,Non-Fatal
26492,Non-Fatal
26493,Non-Fatal
26494,Fatal(1)
26495,Non-Fatal
26496,Non-Fatal
26497,Non-Fatal
26498,Non-Fatal
26499,Non-Fatal
26500,Non-Fatal
26501,Non-Fatal
26502,Fatal(1)
26503,Non-Fatal
26504,Non-Fatal
26505,Non-Fatal
26506,Non-Fatal
26507,Non-Fatal
26508,Non-Fatal
26509,Non-Fatal
26510,Non-Fatal
26511,Non-Fatal
26512,Non-Fatal
26513,Non-Fatal
26514,Fatal(1)
26515,Non-Fatal
26516,Non-Fatal
26517,Non-Fatal
26518,Non-Fatal
26519,Non-Fatal
26520,Fatal(1)
26521,Fatal(1)
26522,Fatal(5)
26523,Non-Fatal
26524,Non-Fatal
26525,Non-Fatal
26526,Non-Fatal
26527,Non-Fatal
26528,Non-Fatal
26529,Non-Fatal
26530,Fatal(1)
26531,Fatal(3)
26532,Non-Fatal
26533,Non-Fatal
26534,Non-Fatal
26535,Non-Fatal
26536,Non-Fatal
26537,Non-Fatal
26538,Non-Fatal
26539,Non-Fatal
26540,Non-Fatal
26541,Non-Fatal
26542,Non-Fatal
26543,Non-Fatal
26544,Fatal(1)
26545,Non-Fatal
26546,Non-Fatal
26547,Non-Fatal
26548,Non-Fatal
26549,Non-Fatal
26550,Non-Fatal
26551,Non-Fatal
26552,Non-Fatal
26553,Fatal(1)
26554,Non-Fatal
26555,Non-Fatal
26556,Non-Fatal
26557,Non-Fatal
26558,Fatal(2)
26559,Non-Fatal
26560,Fatal(4)
26561,Fatal(2)
26562,Fatal(3)
26563,Non-Fatal
26564,Fatal(1)
26565,Fatal(1)
26566,Fatal(2)
26567,Fatal(2)
26568,Fatal(2)
26569,Non-Fatal
26570,Non-Fatal
26571,Non-Fatal
26572,Non-Fatal
26573,Non-Fatal
26574,Fatal(1)
26575,Non-Fatal
26576,Non-Fatal
26577,Incident
26578,Fatal(2)
26579,Non-Fatal
26580,Non-Fatal
26581,Non-Fatal
26582,Non-Fatal
26583,Non-Fatal
26584,Non-Fatal
26585,Non-Fatal
26586,Fatal(1)
26587,Non-Fatal
26588,Non-Fatal
26589,Non-Fatal
26590,Non-Fatal
26591,Non-Fatal
26592,Non-Fatal
26593,Fatal(1)
26594,Non-Fatal
26595,Fatal(2)
26596,Fatal(1)
26597,Non-Fatal
26598,Non-Fatal
26599,Non-Fatal
26600,Non-Fatal
26601,Non-Fatal
26602,Non-Fatal
26603,Non-Fatal
26604,Fatal(1)
26605,Fatal(1)
26606,Non-Fatal
26607,Non-Fatal
26608,Non-Fatal
26609,Non-Fatal
26610,Non-Fatal
26611,Non-Fatal
26612,Non-Fatal
26613,Non-Fatal
26614,Fatal(1)
26615,Non-Fatal
26616,Fatal(2)
26617,Fatal(1)
26618,Non-Fatal
26619,Fatal(2)
26620,Fatal(1)
26621,Non-Fatal
26622,Non-Fatal
26623,Non-Fatal
26624,Non-Fatal
26625,Non-Fatal
26626,Fatal(1)
26627,Non-Fatal
26628,Non-Fatal
26629,Fatal(2)
26630,Non-Fatal
26631,Non-Fatal
26632,Non-Fatal
26633,Non-Fatal
26634,Non-Fatal
26635,Non-Fatal
26636,Non-Fatal
26637,Non-Fatal
26638,Non-Fatal
26639,Non-Fatal
26640,Fatal(1)
26641,Non-Fatal
26642,Non-Fatal
26643,Non-Fatal
26644,Non-Fatal
26645,Fatal(1)
26646,Non-Fatal
26647,Non-Fatal
26648,Non-Fatal
26649,Non-Fatal
26650,Non-Fatal
26651,Fatal(1)
26652,Fatal(1)
26653,Incident
26654,Fatal(1)
26655,Non-Fatal
26656,Non-Fatal
26657,Fatal(1)
26658,Non-Fatal
26659,Fatal(1)
26660,Non-Fatal
26661,Non-Fatal
26662,Non-Fatal
26663,Non-Fatal
26664,Fatal(1)
26665,Non-Fatal
26666,Non-Fatal
26667,Non-Fatal
26668,Non-Fatal
26669,Non-Fatal
26670,Non-Fatal
26671,Non-Fatal
26672,Non-Fatal
26673,Fatal(2)
26674,Fatal(4)
26675,Non-Fatal
26676,Fatal(1)
26677,Non-Fatal
26678,Incident
26679,Non-Fatal
26680,Non-Fatal
26681,Non-Fatal
26682,Non-Fatal
26683,Non-Fatal
26684,Non-Fatal
26685,Non-Fatal
26686,Non-Fatal
26687,Non-Fatal
26688,Non-Fatal
26689,Non-Fatal
26690,Non-Fatal
26691,Non-Fatal
26692,Fatal(4)
26693,Fatal(2)
26694,Incident
26695,Non-Fatal
26696,Non-Fatal
26697,Fatal(1)
26698,Non-Fatal
26699,Non-Fatal
26700,Non-Fatal
26701,Non-Fatal
26702,Fatal(4)
26703,Non-Fatal
26704,Non-Fatal
26705,Non-Fatal
26706,Non-Fatal
26707,Fatal(2)
26708,Non-Fatal
26709,Non-Fatal
26710,Non-Fatal
26711,Non-Fatal
26712,Non-Fatal
26713,Fatal(1)
26714,Fatal(3)
26715,Non-Fatal
26716,Fatal(1)
26717,Non-Fatal
26718,Non-Fatal
26719,Non-Fatal
26720,Non-Fatal
26721,Non-Fatal
26722,Non-Fatal
26723,Non-Fatal
26724,Non-Fatal
26725,Non-Fatal
26726,Non-Fatal
26727,Non-Fatal
26728,Non-Fatal
26729,Non-Fatal
26730,Non-Fatal
26731,Fatal(2)
26732,Fatal(2)
26733,Non-Fatal
26734,Non-Fatal
26735,Fatal(1)
26736,Non-Fatal
26737,Non-Fatal
26738,Fatal(2)
26739,Fatal(2)
26740,Non-Fatal
26741,Fatal(8)
26742,Non-Fatal
26743,Non-Fatal
26744,Non-Fatal
26745,Non-Fatal
26746,Non-Fatal
26747,Non-Fatal
26748,Non-Fatal
26749,Fatal(1)
26750,Fatal(1)
26751,Fatal(1)
26752,Fatal(1)
26753,Fatal(2)
26754,Fatal(1)
26755,Non-Fatal
26756,Non-Fatal
26757,Non-Fatal
26758,Non-Fatal
26759,Non-Fatal
26760,Non-Fatal
26761,Non-Fatal
26762,Non-Fatal
26763,Non-Fatal
26764,Non-Fatal
26765,Fatal(3)
26766,Fatal(1)
26767,Fatal(1)
26768,Non-Fatal
26769,Non-Fatal
26770,Non-Fatal
26771,Non-Fatal
26772,Incident
26773,Fatal(2)
26774,Fatal(1)
26775,Fatal(1)
26776,Non-Fatal
26777,Non-Fatal
26778,Non-Fatal
26779,Non-Fatal
26780,Non-Fatal
26781,Non-Fatal
26782,Non-Fatal
26783,Non-Fatal
26784,Non-Fatal
26785,Non-Fatal
26786,Non-Fatal
26787,Non-Fatal
26788,Non-Fatal
26789,Non-Fatal
26790,Fatal(1)
26791,Fatal(2)
26792,Non-Fatal
26793,Non-Fatal
26794,Non-Fatal
26795,Non-Fatal
26796,Non-Fatal
26797,Non-Fatal
26798,Non-Fatal
26799,Fatal(2)
26800,Fatal(4)
26801,Fatal(1)
26802,Non-Fatal
26803,Non-Fatal
26804,Non-Fatal
26805,Non-Fatal
26806,Fatal(1)
26807,Non-Fatal
26808,Non-Fatal
26809,Non-Fatal
26810,Non-Fatal
26811,Non-Fatal
26812,Non-Fatal
26813,Non-Fatal
26814,Fatal(2)
26815,Non-Fatal
26816,Non-Fatal
26817,Non-Fatal
26818,Non-Fatal
26819,Non-Fatal
26820,Non-Fatal
26821,Non-Fatal
26822,Non-Fatal
26823,Non-Fatal
26824,Non-Fatal
26825,Fatal(1)
26826,Fatal(3)
26827,Non-Fatal
26828,Non-Fatal
26829,Non-Fatal
26830,Non-Fatal
26831,Non-Fatal
26832,Fatal(2)
26833,Non-Fatal
26834,Non-Fatal
26835,Non-Fatal
26836,Non-Fatal
26837,Non-Fatal
26838,Fatal(1)
26839,Fatal(1)
26840,Non-Fatal
26841,Fatal(1)
26842,Non-Fatal
26843,Non-Fatal
26844,Non-Fatal
26845,Non-Fatal
26846,Non-Fatal
26847,Fatal(6)
26848,Fatal(3)
26849,Non-Fatal
26850,Non-Fatal
26851,Non-Fatal
26852,Fatal(3)
26853,Non-Fatal
26854,Non-Fatal
26855,Non-Fatal
26856,Non-Fatal
26857,Non-Fatal
26858,Non-Fatal
26859,Non-Fatal
26860,Fatal(1)
26861,Non-Fatal
26862,Non-Fatal
26863,Non-Fatal
26864,Non-Fatal
26865,Fatal(2)
26866,Non-Fatal
26867,Non-Fatal
26868,Non-Fatal
26869,Non-Fatal
26870,Non-Fatal
26871,Non-Fatal
26872,Non-Fatal
26873,Non-Fatal
26874,Non-Fatal
26875,Fatal(1)
26876,Fatal(1)
26877,Fatal(1)
26878,Non-Fatal
26879,Non-Fatal
26880,Non-Fatal
26881,Fatal(2)
26882,Non-Fatal
26883,Non-Fatal
26884,Non-Fatal
26885,Non-Fatal
26886,Non-Fatal
26887,Non-Fatal
26888,Non-Fatal
26889,Non-Fatal
26890,Non-Fatal
26891,Non-Fatal
26892,Non-Fatal
26893,Non-Fatal
26894,Non-Fatal
26895,Fatal(2)
26896,Fatal(2)
26897,Non-Fatal
26898,Non-Fatal
26899,Non-Fatal
26900,Fatal(1)
26901,Fatal(2)
26902,Non-Fatal
26903,Non-Fatal
26904,Non-Fatal
26905,Non-Fatal
26906,Non-Fatal
26907,Non-Fatal
26908,Non-Fatal
26909,Non-Fatal
26910,Fatal(3)
26911,Non-Fatal
26912,Non-Fatal
26913,Non-Fatal
26914,Non-Fatal
26915,Non-Fatal
26916,Non-Fatal
26917,Non-Fatal
26918,Non-Fatal
26919,Non-Fatal
26920,Fatal(1)
26921,Non-Fatal
26922,Non-Fatal
26923,Non-Fatal
26924,Non-Fatal
26925,Non-Fatal
26926,Fatal(2)
26927,Fatal(2)
26928,Incident
26929,Non-Fatal
26930,Non-Fatal
26931,Non-Fatal
26932,Non-Fatal
26933,Incident
26934,Non-Fatal
26935,Non-Fatal
26936,Non-Fatal
26937,Non-Fatal
26938,Non-Fatal
26939,Fatal(2)
26940,Fatal(1)
26941,Fatal(1)
26942,Non-Fatal
26943,Fatal(1)
26944,Non-Fatal
26945,Non-Fatal
26946,Non-Fatal
26947,Non-Fatal
26948,Non-Fatal
26949,Non-Fatal
26950,Non-Fatal
26951,Fatal(1)
26952,Non-Fatal
26953,Non-Fatal
26954,Incident
26955,Fatal(2)
26956,Non-Fatal
26957,Non-Fatal
26958,Non-Fatal
26959,Non-Fatal
26960,Fatal(5)
26961,Fatal(2)
26962,Non-Fatal
26963,Non-Fatal
26964,Non-Fatal
26965,Fatal(3)
26966,Non-Fatal
26967,Non-Fatal
26968,Non-Fatal
26969,Fatal(1)
26970,Incident
26971,Non-Fatal
26972,Non-Fatal
26973,Fatal(1)
26974,Incident
26975,Non-Fatal
26976,Non-Fatal
26977,Non-Fatal
26978,Non-Fatal
26979,Non-Fatal
26980,Non-Fatal
26981,Fatal(4)
26982,Non-Fatal
26983,Non-Fatal
26984,Non-Fatal
26985,Non-Fatal
26986,Fatal(3)
26987,Non-Fatal
26988,Non-Fatal
26989,Non-Fatal
26990,Non-Fatal
26991,Non-Fatal
26992,Non-Fatal
26993,Non-Fatal
26994,Non-Fatal
26995,Non-Fatal
26996,Non-Fatal
26997,Non-Fatal
26998,Non-Fatal
26999,Non-Fatal
27000,Incident
27001,Non-Fatal
27002,Fatal(1)
27003,Non-Fatal
27004,Non-Fatal
27005,Non-Fatal
27006,Fatal(2)
27007,Fatal(1)
27008,Fatal(1)
27009,Non-Fatal
27010,Non-Fatal
27011,Non-Fatal
27012,Fatal(1)
27013,Incident
27014,Fatal(1)
27015,Non-Fatal
27016,Non-Fatal
27017,Non-Fatal
27018,Non-Fatal
27019,Fatal(2)
27020,Fatal(1)
27021,Non-Fatal
27022,Fatal(1)
27023,Fatal(1)
27024,Non-Fatal
27025,Non-Fatal
27026,Non-Fatal
27027,Fatal(3)
27028,Fatal(2)
27029,Fatal(4)
27030,Non-Fatal
27031,Non-Fatal
27032,Non-Fatal
27033,Non-Fatal
27034,Fatal(1)
27035,Fatal(2)
27036,Non-Fatal
27037,Non-Fatal
27038,Fatal(3)
27039,Fatal(1)
27040,Fatal(1)
27041,Fatal(1)
27042,Non-Fatal
27043,Non-Fatal
27044,Fatal(2)
27045,Non-Fatal
27046,Non-Fatal
27047,Non-Fatal
27048,Non-Fatal
27049,Non-Fatal
27050,Non-Fatal
27051,Incident
27052,Incident
27053,Fatal(1)
27054,Fatal(2)
27055,Non-Fatal
27056,Non-Fatal
27057,Non-Fatal
27058,Non-Fatal
27059,Non-Fatal
27060,Non-Fatal
27061,Fatal(1)
27062,Non-Fatal
27063,Fatal(1)
27064,Non-Fatal
27065,Non-Fatal
27066,Non-Fatal
27067,Non-Fatal
27068,Non-Fatal
27069,Incident
27070,Non-Fatal
27071,Non-Fatal
27072,Fatal(1)
27073,Non-Fatal
27074,Non-Fatal
27075,Fatal(1)
27076,Non-Fatal
27077,Non-Fatal
27078,Non-Fatal
27079,Non-Fatal
27080,Non-Fatal
27081,Non-Fatal
27082,Fatal(5)
27083,Fatal(2)
27084,Incident
27085,Non-Fatal
27086,Non-Fatal
27087,Non-Fatal
27088,Non-Fatal
27089,Fatal(1)
27090,Non-Fatal
27091,Non-Fatal
27092,Non-Fatal
27093,Non-Fatal
27094,Non-Fatal
27095,Non-Fatal
27096,Fatal(8)
27097,Fatal(8)
27098,Non-Fatal
27099,Non-Fatal
27100,Non-Fatal
27101,Non-Fatal
27102,Non-Fatal
27103,Fatal(2)
27104,Non-Fatal
27105,Incident
27106,Non-Fatal
27107,Non-Fatal
27108,Non-Fatal
27109,Fatal(1)
27110,Fatal(1)
27111,Non-Fatal
27112,Non-Fatal
27113,Non-Fatal
27114,Non-Fatal
27115,Fatal(1)
27116,Fatal(1)
27117,Non-Fatal
27118,Non-Fatal
27119,Non-Fatal
27120,Non-Fatal
27121,Non-Fatal
27122,Non-Fatal
27123,Non-Fatal
27124,Non-Fatal
27125,Non-Fatal
27126,Non-Fatal
27127,Non-Fatal
27128,Non-Fatal
27129,Non-Fatal
27130,Non-Fatal
27131,Non-Fatal
27132,Non-Fatal
27133,Non-Fatal
27134,Non-Fatal
27135,Fatal(4)
27136,Fatal(1)
27137,Non-Fatal
27138,Non-Fatal
27139,Non-Fatal
27140,Non-Fatal
27141,Non-Fatal
27142,Non-Fatal
27143,Fatal(1)
27144,Non-Fatal
27145,Non-Fatal
27146,Non-Fatal
27147,Fatal(1)
27148,Incident
27149,Non-Fatal
27150,Non-Fatal
27151,Non-Fatal
27152,Fatal(1)
27153,Fatal(1)
27154,Non-Fatal
27155,Non-Fatal
27156,Non-Fatal
27157,Non-Fatal
27158,Non-Fatal
27159,Non-Fatal
27160,Incident
27161,Non-Fatal
27162,Non-Fatal
27163,Non-Fatal
27164,Non-Fatal
27165,Fatal(1)
27166,Fatal(1)
27167,Non-Fatal
27168,Non-Fatal
27169,Incident
27170,Incident
27171,Fatal(2)
27172,Non-Fatal
27173,Non-Fatal
27174,Non-Fatal
27175,Non-Fatal
27176,Fatal(1)
27177,Incident
27178,Incident
27179,Fatal(2)
27180,Non-Fatal
27181,Non-Fatal
27182,Non-Fatal
27183,Non-Fatal
27184,Fatal(1)
27185,Non-Fatal
27186,Non-Fatal
27187,Non-Fatal
27188,Fatal(1)
27189,Non-Fatal
27190,Non-Fatal
27191,Non-Fatal
27192,Non-Fatal
27193,Non-Fatal
27194,Non-Fatal
27195,Incident
27196,Non-Fatal
27197,Fatal(1)
27198,Non-Fatal
27199,Non-Fatal
27200,Fatal(1)
27201,Fatal(1)
27202,Non-Fatal
27203,Non-Fatal
27204,Non-Fatal
27205,Non-Fatal
27206,Incident
27207,Fatal(2)
27208,Non-Fatal
27209,Fatal(1)
27210,Non-Fatal
27211,Non-Fatal
27212,Non-Fatal
27213,Non-Fatal
27214,Non-Fatal
27215,Non-Fatal
27216,Non-Fatal
27217,Fatal(1)
27218,Non-Fatal
27219,Non-Fatal
27220,Non-Fatal
27221,Fatal(1)
27222,Incident
27223,Fatal(1)
27224,Non-Fatal
27225,Incident
27226,Non-Fatal
27227,Non-Fatal
27228,Non-Fatal
27229,Fatal(6)
27230,Non-Fatal
27231,Fatal(1)
27232,Fatal(1)
27233,Fatal(1)
27234,Non-Fatal
27235,Non-Fatal
27236,Non-Fatal
27237,Fatal(2)
27238,Incident
27239,Fatal(2)
27240,Non-Fatal
27241,Non-Fatal
