,Injury.Severity
323,Non-Fatal
324,Non-Fatal
325,Non-Fatal
326,Non-Fatal
327,Non-Fatal
328,Non-Fatal
329,Non-Fatal
330,Non-Fatal
331,Non-Fatal
332,Non-Fatal
333,Non-Fatal
334,Fatal(8)
335,Non-Fatal
336,Non-Fatal
337,Non-Fatal
338,Non-Fatal
339,Non-Fatal
340,Non-Fatal
341,Non-Fatal
342,Non-Fatal
343,Non-Fatal
344,Non-Fatal
345,Non-Fatal
346,Incident
347,Fatal(1)
348,Fatal(1)
349,Non-Fatal
350,Non-Fatal
351,Incident
352,Non-Fatal
353,Non-Fatal
354,Non-Fatal
355,Non-Fatal
356,Non-Fatal
357,Non-Fatal
358,Non-Fatal
359,Non-Fatal
360,Non-Fatal
361,Non-Fatal
362,Non-Fatal
363,Fatal(1)
364,Fatal(2)
365,Fatal(1)
366,Non-Fatal
367,Non-Fatal
368,Non-Fatal
369,Non-Fatal
370,Non-Fatal
371,Non-Fatal
372,Non-Fatal
373,Non-Fatal
374,Non-Fatal
375,Non-Fatal
376,Fatal(1)
377,Fatal(1)
378,Non-Fatal
379,Non-Fatal
380,Non-Fatal
381,Non-Fatal
382,Non-Fatal
383,Fatal(2)
384,Non-Fatal
385,Non-Fatal
386,Non-Fatal
387,Non-Fatal
388,Non-Fatal
389,Fatal(2)
390,Non-Fatal
391,Non-Fatal
392,Non-Fatal
393,Non-Fatal
394,Non-Fatal
395,Non-Fatal
396,Non-Fatal
397,Non-Fatal
398,Fatal(1)
399,Non-Fatal
400,Non-Fatal
401,Non-Fatal
402,Non-Fatal
403,Non-Fatal
404,Fatal(1)
405,Non-Fatal
406,Non-Fatal
407,Incident
408,Non-Fatal
409,Non-Fatal
410,Non-Fatal
411,Non-Fatal
412,Fatal(4)
413,Non-Fatal
414,Non-Fatal
415,Non-Fatal
416,Non-Fatal
417,Non-Fatal
418,Fatal(1)
419,Incident
420,Non-Fatal
421,Non-Fatal
422,Non-Fatal
423,Non-Fatal
424,Non-Fatal
425,Incident
426,Fatal(1)
427,Non-Fatal
428,Non-Fatal
429,Non-Fatal
430,Non-Fatal
431,Non-Fatal
432,Non-Fatal
433,Non-Fatal
434,Non-Fatal
435,Fatal(6)
436,Non-Fatal
437,Fatal(4)
438,Non-Fatal
439,Non-Fatal
440,Non-Fatal
441,Non-Fatal
442,Non-Fatal
443,Non-Fatal
444,Non-Fatal
445,Non-Fatal
446,Fatal(1)
447,Non-Fatal
448,Non-Fatal
449,Non-Fatal
450,Non-Fatal
451,Non-Fatal
452,Non-Fatal
453,Non-Fatal
454,Fatal(2)
455,Fatal(1)
456,Non-Fatal
457,Non-Fatal
458,Non-Fatal
459,Non-Fatal
460,Non-Fatal
461,Non-Fatal
462,Non-Fatal
463,Fatal(2)
464,Fatal(1)
465,Non-Fatal
466,Non-Fatal
467,Non-Fatal
468,Non-Fatal
469,Non-Fatal
470,Non-Fatal
471,Fatal(1)
472,Fatal(3)
473,Non-Fatal
474,Non-Fatal
475,Fatal(1)
476,Non-Fatal
477,Non-Fatal
478,Non-Fatal
479,Non-Fatal
480,Non-Fatal
481,Non-Fatal
482,Non-Fatal
483,Non-Fatal
484,Non-Fatal
485,Non-Fatal
486,Non-Fatal
487,Non-Fatal
488,Non-Fatal
489,Non-Fatal
490,Non-Fatal
491,Non-Fatal
492,Non-Fatal
493,Non-Fatal
494,Fatal(1)
495,Non-Fatal
496,Non-Fatal
497,Non-Fatal
498,Non-Fatal
499,Non-Fatal
500,Non-Fatal
501,Non-Fatal
502,Non-Fatal
503,Non-Fatal
504,Non-Fatal
505,Non-Fatal
506,Incident
507,Incident
508,Non-Fatal
509,Fatal(1)
510,Non-Fatal
511,Non-Fatal
512,Non-Fatal
513,Non-Fatal
514,Non-Fatal
515,Incident
516,Non-Fatal
517,Non-Fatal
518,Non-Fatal
519,Non-Fatal
520,Non-Fatal
521,Fatal(1)
522,Incident
523,Fatal(2)
524,Non-Fatal
525,Non-Fatal
526,Non-Fatal
527,Non-Fatal
528,Non-Fatal
529,Non-Fatal
530,Non-Fatal
531,Non-Fatal
532,Incident
533,Fatal(1)
534,Non-Fatal
535,Non-Fatal
536,Non-Fatal
537,Non-Fatal
538,Non-Fatal
539,Non-Fatal
